Order_ID,Date,Customer_ID,Gender,Age,Region,Category,Product_Name,Quantity,Unit_Price,Total_Sales,Payment_Method,Customer_Rating,Returned
ORD10286,2025-01-20,CUST259,Female,40.0,East,Home & Kitchen,Coffee Maker,2,3646.87,7293.74,UPI,2.0,No
ORD10036,2025-01-21,CUST139,Female,64.0,North,Electronics,Wireless Headphones,3,2436.36,7309.08,UPI,4.0,No
ORD10005,2025-01-21,CUST331,Female,28.0,East,Electronics,Tablet,5,17892.32,89461.6,Credit Card,4.0,No
ORD10230,2025-01-22,CUST297,Female,42.0,North,Books,Novel,1,413.03,413.03,UPI,4.0,No
ORD10025,2025-01-22,CUST180,Male,50.0,East,Home & Kitchen,Cookware Set,1,4476.09,4476.09,Cash on Delivery,5.0,No
ORD10773,2025-01-23,CUST138,Male,42.0,Central,Electronics,Laptop,1,57062.43,57062.43,UPI,5.0,No
ORD10348,2025-01-23,CUST139,Male,44.0,South,Beauty,Hair Dryer,1,1958.15,1958.15,UPI,5.0,No
ORD10550,2025-01-23,CUST343,Male,44.0,East,Home & Kitchen,Cookware Set,1,4319.89,4319.89,UPI,1.0,No
ORD10818,2025-01-23,CUST169,Male,32.0,South,Electronics,Smartphone,1,26231.49,26231.49,UPI,4.0,No
ORD10677,2025-01-25,CUST210,Male,64.0,South,Clothing,Jeans,1,1462.93,1462.93,UPI,4.0,Yes
ORD10863,2025-01-25,CUST264,Male,46.0,South,Home & Kitchen,Cookware Set,1,4597.52,4597.52,UPI,5.0,No
ORD10417,2025-01-25,CUST262,Male,36.0,North,Clothing,Sneakers,1,3600.65,3600.65,Credit Card,4.0,Yes
ORD10720,2025-01-26,CUST297,Female,34.0,West,Books,Data Science Handbook,1,933.3,933.3,UPI,5.0,No
ORD10642,2025-01-26,CUST293,Male,20.0,North,Clothing,Dress,2,1914.17,3828.34,Net Banking,5.0,No
ORD10986,2025-01-27,CUST172,Male,60.0,West,Clothing,T-Shirt,2,824.62,1649.24,Debit Card,5.0,No
ORD10236,2025-01-27,CUST110,Female,60.0,South,Clothing,Jeans,4,1563.21,6252.84,Credit Card,,No
ORD10091,2025-01-28,CUST332,Female,32.0,South,Home & Kitchen,Blender,2,2237.24,4474.48,Debit Card,1.0,No
ORD10120,2025-01-28,CUST321,Male,51.0,South,Home & Kitchen,Blender,1,2163.49,2163.49,Debit Card,3.0,No
ORD10650,2025-01-28,CUST325,Male,23.0,South,Books,Python Guide,2,594.77,1189.54,UPI,4.0,No
ORD10666,2025-01-28,CUST259,Female,53.0,North,Clothing,Jeans,1,1452.76,1452.76,UPI,4.0,No
ORD10444,2025-01-29,CUST111,Female,51.0,North,Clothing,T-Shirt,2,833.34,1666.68,Credit Card,4.0,No
ORD10834,2025-01-29,CUST250,Female,34.0,North,Clothing,Dress,1,1913.44,1913.44,Cash on Delivery,5.0,Yes
ORD10997,2025-01-29,CUST302,Male,55.0,West,Home & Kitchen,Coffee Maker,2,3459.03,6918.06,UPI,5.0,No
ORD10973,2025-01-29,CUST241,Male,63.0,South,Home & Kitchen,Cookware Set,3,4296.01,12888.03,Credit Card,3.0,No
ORD10885,2025-02-01,CUST119,Female,50.0,South,Beauty,Sunscreen,2,482.16,964.32,Debit Card,4.0,No
ORD10226,2025-02-02,CUST160,Female,43.0,West,Home & Kitchen,Air Fryer,1,6186.75,6186.75,Credit Card,4.0,No
ORD10094,2025-02-02,CUST146,Male,57.0,Central,Clothing,T-Shirt,1,766.98,766.98,UPI,4.0,No
ORD10981,2025-02-03,CUST293,Female,63.0,South,Electronics,Wireless Headphones,1,2501.97,2501.97,UPI,5.0,No
ORD10562,2025-02-03,CUST145,Male,52.0,South,Clothing,Jeans,1,1437.39,1437.39,UPI,3.0,No
ORD10687,2025-02-03,CUST253,Female,59.0,West,Electronics,Smartphone,1,24967.71,24967.71,Credit Card,5.0,No
ORD10375,2025-02-04,CUST265,Female,50.0,West,Home & Kitchen,Air Fryer,1,6505.51,6505.51,Credit Card,4.0,No
ORD10050,2025-02-04,CUST207,Male,36.0,South,Clothing,Jeans,1,1526.02,1526.02,Debit Card,4.0,No
ORD10115,2025-02-05,CUST158,Male,20.0,North,Electronics,Smartphone,1,25829.85,25829.85,Credit Card,,No
ORD10285,2025-02-05,CUST102,Male,62.0,North,Books,Data Science Handbook,2,902.65,1805.3,UPI,2.0,No
ORD10393,2025-02-06,CUST258,Male,61.0,East,Clothing,T-Shirt,1,765.93,765.93,Credit Card,5.0,No
ORD10255,2025-02-06,CUST206,Female,59.0,North,Clothing,Sneakers,2,3455.68,6911.36,Debit Card,4.0,No
ORD10195,2025-02-06,CUST183,Male,39.0,South,Electronics,Smart Watch,1,4369.19,4369.19,Credit Card,5.0,No
ORD10231,2025-02-07,CUST138,Male,27.0,Central,Electronics,Wireless Headphones,1,2422.64,2422.64,Cash on Delivery,5.0,No
ORD10465,2025-02-08,CUST106,Female,61.0,Central,Electronics,Laptop,1,56609.81,56609.81,Cash on Delivery,4.0,No
ORD10779,2025-02-08,CUST224,Female,19.0,South,Books,Self-Help Book,1,430.71,430.71,Credit Card,4.0,No
ORD10422,2025-02-08,CUST298,Female,21.0,North,Clothing,Dress,2,1949.42,3898.84,UPI,5.0,No
ORD10667,2025-02-08,CUST140,Female,64.0,South,Electronics,Wireless Headphones,5,2591.41,12957.05,UPI,4.0,No
ORD10279,2025-02-08,CUST262,Male,26.0,South,Electronics,Tablet,1,18864.01,18864.01,UPI,3.0,No
ORD10707,2025-02-09,CUST154,Male,34.0,West,Beauty,Hair Dryer,2,1807.54,3615.08,Debit Card,4.0,No
ORD10090,2025-02-10,CUST253,Male,18.0,Central,Clothing,T-Shirt,4,769.63,3078.52,UPI,4.0,Yes
ORD10518,2025-02-10,CUST296,Male,41.0,South,Electronics,Laptop,2,57745.64,115491.28,UPI,4.0,No
ORD10980,2025-02-10,CUST319,Male,25.0,North,Electronics,Tablet,1,18316.16,18316.16,UPI,4.0,Yes
ORD10073,2025-02-10,CUST182,Female,52.0,North,Clothing,Sneakers,1,3443.6,3443.6,Credit Card,1.0,No
ORD10424,2025-02-11,CUST332,Male,48.0,West,Beauty,Sunscreen,2,500.67,1001.34,UPI,4.0,No
ORD10978,2025-02-11,CUST189,Female,44.0,Central,Clothing,Dress,1,2070.08,2070.08,Credit Card,5.0,No
ORD10766,2025-02-11,CUST197,Male,30.0,East,Clothing,T-Shirt,1,770.63,770.63,Debit Card,5.0,No
ORD10607,2025-02-12,CUST235,Male,22.0,West,Clothing,T-Shirt,1,780.95,780.95,Cash on Delivery,5.0,No
ORD10368,2025-02-12,CUST144,Male,24.0,East,Home & Kitchen,Coffee Maker,1,3669.19,3669.19,Credit Card,4.0,No
ORD10251,2025-02-15,CUST342,Female,36.0,South,Home & Kitchen,Air Fryer,1,6402.62,6402.62,Net Banking,5.0,No
ORD10629,2025-02-15,CUST196,Male,18.0,East,Books,Python Guide,2,614.77,1229.54,UPI,2.0,No
ORD10337,2025-02-16,CUST180,Female,43.0,East,Electronics,Wireless Headphones,3,2530.59,7591.77,UPI,5.0,No
ORD10309,2025-02-16,CUST325,Male,30.0,Central,Home & Kitchen,Bed Sheet Set,3,1242.83,3728.49,Cash on Delivery,1.0,No
ORD10633,2025-02-16,CUST332,Female,44.0,East,Clothing,Jacket,3,2989.45,8968.35,UPI,3.0,No
ORD10496,2025-02-16,CUST274,Male,46.0,North,Books,Novel,4,408.8,1635.2,UPI,5.0,No
ORD10807,2025-02-16,CUST345,Male,39.0,East,Home & Kitchen,Cookware Set,1,4628.55,4628.55,Credit Card,,No
ORD10640,2025-02-17,CUST249,Female,59.0,South,Electronics,Smart Watch,1,4331.91,4331.91,Credit Card,4.0,No
ORD10095,2025-02-17,CUST131,Female,25.0,North,Home & Kitchen,Bed Sheet Set,2,1155.47,2310.94,Credit Card,4.0,No
ORD10872,2025-02-18,CUST155,Female,37.0,North,Home & Kitchen,Bed Sheet Set,1,1175.77,1175.77,Debit Card,5.0,No
ORD10244,2025-02-18,CUST158,Female,21.0,Central,Clothing,Dress,1,1940.53,1940.53,Cash on Delivery,2.0,No
ORD10558,2025-02-20,CUST159,Female,37.0,South,Electronics,Laptop,1,56711.08,56711.08,UPI,5.0,No
ORD10619,2025-02-20,CUST179,Male,36.0,North,Electronics,Smartphone,1,25495.18,25495.18,Credit Card,4.0,No
ORD10294,2025-02-20,CUST172,Male,53.0,North,Electronics,Smart Watch,1,4551.95,4551.95,Debit Card,2.0,No
ORD10920,2025-02-20,CUST271,Male,63.0,North,Home & Kitchen,Air Fryer,1,6741.37,6741.37,Credit Card,2.0,No
ORD10833,2025-02-20,CUST144,Male,27.0,West,Clothing,Sneakers,1,3634.67,3634.67,UPI,4.0,No
ORD10952,2025-02-22,CUST301,Female,49.0,West,Electronics,Laptop,3,55338.13,166014.39,UPI,5.0,No
ORD10304,2025-02-22,CUST319,Male,18.0,South,Electronics,Laptop,1,54597.35,54597.35,UPI,,No
ORD10603,2025-02-22,CUST316,Male,64.0,North,Clothing,T-Shirt,1,777.4,777.4,Debit Card,5.0,No
ORD10158,2025-02-22,CUST269,Male,,North,Home & Kitchen,Bed Sheet Set,1,1152.28,1152.28,UPI,1.0,No
ORD10068,2025-02-22,CUST146,Male,33.0,Central,Clothing,Sneakers,1,3667.95,3667.95,UPI,4.0,No
ORD10204,2025-02-23,CUST257,Male,61.0,South,Clothing,Jacket,2,3128.45,6256.9,UPI,4.0,No
ORD10917,2025-02-23,CUST270,Male,53.0,South,Electronics,Tablet,2,18600.43,37200.86,Credit Card,4.0,No
ORD10301,2025-02-23,CUST283,Female,38.0,North,Clothing,T-Shirt,1,810.63,810.63,Debit Card,2.0,No
ORD10572,2025-02-23,CUST327,Female,44.0,South,Home & Kitchen,Bed Sheet Set,1,1200.9,1200.9,Debit Card,4.0,No
ORD10903,2025-02-24,CUST280,Male,51.0,Central,Home & Kitchen,Air Fryer,4,6535.3,26141.2,UPI,3.0,No
ORD10908,2025-02-24,CUST325,Female,18.0,South,Home & Kitchen,Air Fryer,1,6189.98,6189.98,Cash on Delivery,3.0,No
ORD10647,2025-02-25,CUST221,Female,22.0,Central,Clothing,Dress,2,2043.2,4086.4,UPI,4.0,No
ORD10637,2025-02-25,CUST176,Male,46.0,North,Home & Kitchen,Air Fryer,1,6505.81,6505.81,Net Banking,5.0,Yes
ORD10320,2025-02-27,CUST315,Female,39.0,East,Electronics,Smart Watch,3,4623.72,13871.16,Debit Card,4.0,No
ORD10470,2025-02-27,CUST210,Female,34.0,North,Electronics,Tablet,2,17555.76,35111.52,Net Banking,3.0,No
ORD10485,2025-02-27,CUST240,Female,54.0,North,Electronics,Smart Watch,1,4377.24,4377.24,Debit Card,3.0,No
ORD10314,2025-02-27,CUST139,Female,63.0,North,Books,Data Science Handbook,1,891.24,891.24,Credit Card,5.0,No
ORD10958,2025-02-28,CUST235,Female,51.0,South,Books,Data Science Handbook,1,924.53,924.53,Credit Card,3.0,No
ORD10028,2025-02-28,CUST334,Male,32.0,West,Clothing,Jeans,5,1551.93,7759.65,UPI,5.0,No
ORD10618,2025-03-02,CUST306,Female,58.0,South,Books,Python Guide,1,591.95,591.95,Debit Card,1.0,No
ORD10399,2025-03-03,CUST320,Female,22.0,West,Books,Data Science Handbook,3,856.38,2569.14,Credit Card,5.0,No
ORD10869,2025-03-04,CUST340,Male,37.0,South,Clothing,T-Shirt,1,805.32,805.32,UPI,4.0,No
ORD10878,2025-03-04,CUST288,Female,39.0,East,Books,Data Science Handbook,1,869.76,869.76,Credit Card,5.0,No
ORD10081,2025-03-04,CUST307,Male,57.0,North,Clothing,Sneakers,2,3629.3,7258.6,UPI,4.0,No
ORD10539,2025-03-04,CUST159,Female,39.0,North,Beauty,Sunscreen,1,493.93,493.93,Cash on Delivery,4.0,No
ORD10533,2025-03-06,CUST117,Male,41.0,West,Clothing,T-Shirt,2,806.9,1613.8,Net Banking,5.0,No
ORD10076,2025-03-06,CUST248,Female,64.0,South,Books,Python Guide,2,573.38,1146.76,Debit Card,1.0,No
ORD10679,2025-03-08,CUST106,Female,56.0,North,Home & Kitchen,Air Fryer,2,6718.48,13436.96,UPI,4.0,No
ORD10336,2025-03-10,CUST304,Male,53.0,North,Clothing,Sneakers,3,3512.71,10538.13,Credit Card,4.0,No
ORD10814,2025-03-10,CUST316,Male,50.0,South,Home & Kitchen,Blender,1,2122.44,2122.44,UPI,5.0,No
ORD10414,2025-03-10,CUST291,Male,42.0,North,Electronics,Smart Watch,2,4500.82,9001.64,Credit Card,4.0,No
ORD10602,2025-03-10,CUST144,Female,24.0,East,Electronics,Laptop,1,54010.33,54010.33,Cash on Delivery,1.0,No
ORD10457,2025-03-11,CUST274,Female,30.0,North,Home & Kitchen,Blender,1,2142.66,2142.66,Credit Card,1.0,No
ORD10004,2025-03-13,CUST138,Female,38.0,North,Clothing,Jeans,1,1450.71,1450.71,Debit Card,3.0,No
ORD10565,2025-03-13,CUST321,Male,43.0,South,Electronics,Laptop,1,54396.58,54396.58,UPI,4.0,No
ORD10631,2025-03-14,CUST324,Female,64.0,West,Electronics,Laptop,1,53586.2,53586.2,Credit Card,5.0,No
ORD10433,2025-03-15,CUST320,Female,48.0,South,Electronics,Smartphone,1,24004.62,24004.62,UPI,1.0,No
ORD10713,2025-03-16,CUST218,Female,49.0,South,Electronics,Tablet,1,18604.03,18604.03,Credit Card,5.0,No
ORD10975,2025-03-16,CUST147,Male,27.0,North,Clothing,Dress,2,2064.9,4129.8,UPI,5.0,No
ORD10382,2025-03-16,CUST348,Male,57.0,North,Home & Kitchen,Air Fryer,1,6227.01,6227.01,UPI,5.0,No
ORD10854,2025-03-16,CUST303,Male,19.0,North,Electronics,Smart Watch,1,4648.36,4648.36,Credit Card,3.0,No
ORD10579,2025-03-16,CUST313,Male,37.0,West,Electronics,Laptop,1,53493.83,53493.83,UPI,4.0,No
ORD10330,2025-03-17,CUST136,Male,34.0,North,Books,Python Guide,2,599.91,1199.82,Credit Card,3.0,No
ORD10407,2025-03-17,CUST212,Female,58.0,Central,Clothing,T-Shirt,1,818.78,818.78,Cash on Delivery,5.0,No
ORD10651,2025-03-19,CUST205,Female,54.0,East,Home & Kitchen,Coffee Maker,2,3606.69,7213.38,Credit Card,3.0,No
ORD10925,2025-03-19,CUST225,Female,55.0,Central,Books,Data Science Handbook,1,935.09,935.09,UPI,4.0,No
ORD10630,2025-03-19,CUST101,Female,20.0,North,Home & Kitchen,Cookware Set,3,4594.9,13784.7,UPI,4.0,Yes
ORD10555,2025-03-19,CUST271,Male,46.0,South,Clothing,T-Shirt,1,823.72,823.72,UPI,5.0,No
ORD10763,2025-03-19,CUST263,Female,33.0,East,Books,Novel,2,409.82,819.64,UPI,5.0,No
ORD10488,2025-03-21,CUST114,Male,36.0,West,Home & Kitchen,Cookware Set,1,4385.04,4385.04,Debit Card,2.0,No
ORD10052,2025-03-22,CUST278,Male,20.0,Central,Electronics,Tablet,1,17387.4,17387.4,UPI,4.0,No
ORD10150,2025-03-22,CUST192,Female,58.0,East,Clothing,Jacket,2,2909.65,5819.3,Credit Card,1.0,No
ORD10595,2025-03-22,CUST181,Male,28.0,South,Clothing,Dress,1,1970.66,1970.66,Debit Card,4.0,Yes
ORD10941,2025-03-23,CUST201,Female,45.0,South,Books,Python Guide,1,617.42,617.42,Cash on Delivery,5.0,No
ORD10552,2025-03-24,CUST230,Male,18.0,North,Electronics,Smartphone,2,25021.71,50043.42,Cash on Delivery,5.0,No
ORD10873,2025-03-25,CUST255,Female,52.0,South,Home & Kitchen,Blender,3,2155.63,6466.89,Credit Card,5.0,No
ORD10937,2025-03-26,CUST346,Female,26.0,East,Electronics,Smart Watch,2,4311.48,8622.96,UPI,2.0,No
ORD10554,2025-03-26,CUST291,Female,42.0,North,Clothing,Jeans,4,1552.89,6211.56,Debit Card,4.0,No
ORD10333,2025-03-27,CUST304,Female,46.0,South,Books,Python Guide,1,626.22,626.22,Debit Card,4.0,Yes
ORD10670,2025-03-27,CUST107,Male,30.0,South,Home & Kitchen,Bed Sheet Set,1,1167.38,1167.38,Credit Card,4.0,Yes
ORD10119,2025-03-27,CUST322,Male,49.0,West,Electronics,Wireless Headphones,3,2526.14,7578.42,Debit Card,4.0,No
ORD10907,2025-03-28,CUST225,Female,45.0,South,Beauty,Sunscreen,2,483.7,967.4,UPI,4.0,No
ORD10011,2025-03-29,CUST251,Male,,West,Electronics,Tablet,1,18228.24,18228.24,Debit Card,5.0,No
ORD10924,2025-03-29,CUST227,Male,23.0,West,Electronics,Smartphone,1,26034.54,26034.54,Credit Card,4.0,No
ORD10767,2025-03-30,CUST327,Female,52.0,North,Electronics,Laptop,2,57279.89,114559.78,UPI,4.0,Yes
ORD10376,2025-03-31,CUST287,Female,40.0,East,Electronics,Tablet,1,18445.03,18445.03,Credit Card,5.0,Yes
ORD10514,2025-03-31,CUST183,Female,60.0,North,Home & Kitchen,Coffee Maker,3,3364.96,10094.88,UPI,5.0,No
ORD10732,2025-03-31,CUST342,Female,64.0,North,Clothing,Jeans,1,1565.72,1565.72,Credit Card,5.0,No
ORD10463,2025-04-01,CUST224,Male,46.0,Central,Home & Kitchen,Cookware Set,2,4615.56,9231.12,UPI,4.0,Yes
ORD10045,2025-04-02,CUST138,Male,34.0,South,Electronics,Wireless Headphones,1,2533.82,2533.82,Debit Card,3.0,No
ORD10292,2025-04-02,CUST338,Male,25.0,South,Home & Kitchen,Air Fryer,2,6585.88,13171.76,UPI,4.0,No
ORD10617,2025-04-03,CUST259,Female,25.0,North,Clothing,Jacket,1,2860.91,2860.91,Credit Card,3.0,No
ORD10338,2025-04-04,CUST213,Female,55.0,West,Clothing,T-Shirt,2,764.13,1528.26,UPI,5.0,No
ORD10811,2025-04-05,CUST113,Male,64.0,South,Clothing,Jeans,4,1491.2,5964.8,UPI,3.0,No
ORD10746,2025-04-05,CUST285,Male,,Central,Clothing,Jacket,4,2944.55,11778.2,Credit Card,3.0,No
ORD10610,2025-04-05,CUST278,Female,21.0,South,Electronics,Wireless Headphones,1,2606.75,2606.75,Cash on Delivery,4.0,No
ORD10564,2025-04-05,CUST252,Male,44.0,South,Beauty,Perfume,2,2599.99,5199.98,UPI,5.0,Yes
ORD10322,2025-04-06,CUST306,Male,53.0,South,Books,Self-Help Book,2,439.62,879.24,Net Banking,2.0,Yes
ORD10923,2025-04-06,CUST250,Male,49.0,North,Beauty,Hair Dryer,2,1993.25,3986.5,Credit Card,4.0,No
ORD10109,2025-04-06,CUST106,Female,47.0,North,Books,Python Guide,1,625.13,625.13,Credit Card,5.0,No
ORD10391,2025-04-06,CUST257,Female,32.0,North,Electronics,Smartphone,1,26168.32,26168.32,Credit Card,4.0,No
ORD10792,2025-04-07,CUST339,Female,29.0,North,Electronics,Wireless Headphones,2,2459.64,4919.28,Credit Card,3.0,No
ORD10584,2025-04-08,CUST187,Male,58.0,South,Clothing,Jeans,2,1510.7,3021.4,UPI,3.0,No
ORD10543,2025-04-09,CUST192,Male,20.0,East,Books,Python Guide,1,574.96,574.96,UPI,4.0,No
ORD10254,2025-04-09,CUST173,Female,54.0,Central,Clothing,Jacket,3,3038.34,9115.02,UPI,,No
ORD10261,2025-04-09,CUST349,Male,,Central,Clothing,Dress,2,1937.92,3875.84,Credit Card,5.0,No
ORD10199,2025-04-09,CUST276,Female,41.0,South,Beauty,Sunscreen,2,521.35,1042.7,Credit Card,1.0,No
ORD10098,2025-04-09,CUST298,Male,18.0,North,Clothing,Jacket,1,3119.82,3119.82,UPI,,No
ORD10214,2025-04-09,CUST337,Female,61.0,North,Home & Kitchen,Bed Sheet Set,1,1140.48,1140.48,Credit Card,4.0,No
ORD10415,2025-04-09,CUST187,Female,27.0,South,Clothing,T-Shirt,1,796.66,796.66,UPI,5.0,No
ORD10390,2025-04-09,CUST280,Female,30.0,South,Home & Kitchen,Blender,1,2303.52,2303.52,Debit Card,4.0,No
ORD10350,2025-04-10,CUST139,Female,64.0,North,Clothing,Jacket,1,2870.21,2870.21,Credit Card,5.0,Yes
ORD10013,2025-04-10,CUST249,Male,29.0,North,Home & Kitchen,Blender,3,2187.13,6561.39,UPI,,No
ORD10306,2025-04-13,CUST236,Female,,South,Electronics,Smartphone,2,25483.5,50967.0,UPI,5.0,No
ORD10581,2025-04-13,CUST344,Female,27.0,North,Beauty,Perfume,3,2432.51,7297.53,Net Banking,3.0,No
ORD10000,2025-04-13,CUST110,Male,28.0,North,Electronics,Laptop,1,56377.99,56377.99,Debit Card,4.0,No
ORD10208,2025-04-14,CUST289,Female,,South,Home & Kitchen,Blender,1,2169.55,2169.55,UPI,4.0,No
ORD10275,2025-04-14,CUST340,Female,48.0,South,Electronics,Smart Watch,5,4386.36,21931.8,Credit Card,1.0,No
ORD10778,2025-04-14,CUST345,Female,40.0,Central,Home & Kitchen,Blender,2,2127.57,4255.14,Debit Card,4.0,No
ORD10542,2025-04-15,CUST244,Male,46.0,Central,Clothing,Sneakers,5,3358.36,16791.8,Credit Card,4.0,No
ORD10831,2025-04-16,CUST283,Female,43.0,North,Home & Kitchen,Coffee Maker,1,3370.16,3370.16,Credit Card,4.0,No
ORD10056,2025-04-16,CUST111,Female,63.0,East,Books,Data Science Handbook,1,923.25,923.25,UPI,5.0,No
ORD10312,2025-04-16,CUST108,Female,64.0,West,Clothing,T-Shirt,1,811.81,811.81,Debit Card,3.0,No
ORD10594,2025-04-16,CUST163,Male,22.0,East,Clothing,Jacket,1,3129.95,3129.95,Debit Card,4.0,No
ORD10639,2025-04-17,CUST253,Male,41.0,North,Electronics,Smart Watch,2,4563.95,9127.9,Debit Card,3.0,No
ORD10003,2025-04-17,CUST286,Female,29.0,North,Home & Kitchen,Coffee Maker,3,3406.56,10219.68,Net Banking,,No
ORD10974,2025-04-19,CUST152,Male,20.0,North,Books,Self-Help Book,1,438.23,438.23,UPI,1.0,No
ORD10681,2025-04-19,CUST183,Male,39.0,South,Books,Self-Help Book,1,451.7,451.7,Credit Card,4.0,No
ORD10423,2025-04-19,CUST173,Female,64.0,North,Home & Kitchen,Cookware Set,1,4680.86,4680.86,UPI,4.0,No
ORD10608,2025-04-21,CUST110,Male,,Central,Home & Kitchen,Air Fryer,2,6420.17,12840.34,Credit Card,3.0,No
ORD10685,2025-04-21,CUST157,Male,33.0,East,Electronics,Smartphone,2,25470.55,50941.1,UPI,4.0,No
ORD10683,2025-04-21,CUST231,Male,38.0,West,Electronics,Tablet,2,17810.65,35621.3,UPI,2.0,No
